,date,daily_return
88,2020-11-04,0.010345024122050269
89,2020-11-05,0.019771962433467967
90,2020-11-06,-0.0022620516522115436
91,2020-11-09,0.033351375908757135
92,2020-11-10,0.010487975178975987
93,2020-11-11,-0.0002726800921927114
94,2020-11-12,-0.009604870709862214
95,2020-11-13,0.015975441500033376
96,2020-11-16,0.015100424302887317
97,2020-11-17,-0.007472425041392789
98,2020-11-18,-0.012640355806704086
99,2020-11-19,0.002708682807034722
100,2020-11-20,-0.006173039466053293
101,2020-11-23,0.009551158775101463
102,2020-11-24,0.016114168633299786
103,2020-11-25,-0.005068807926574062
104,2020-11-27,0.0013433937635463455
105,2020-11-30,-0.007842843330135078
106,2020-12-01,0.007083305463584715
107,2020-12-02,0.003899275689366407
108,2020-12-03,0.0038340974279439605
109,2020-12-04,0.009242698101437456
110,2020-12-07,-0.005809623704893587
111,2020-12-08,0.003787230066424239
112,2020-12-09,-0.004390947596731634
113,2020-12-10,-0.002659998897934372
114,2020-12-11,0.0015355087258682495
115,2020-12-14,-0.006806544149575063
116,2020-12-15,0.011443800516177669
117,2020-12-16,-0.001160394554930692
118,2020-12-17,0.004146516192292183
119,2020-12-18,-0.0042708886571792455
120,2020-12-21,-0.001177159685551399
121,2020-12-22,-0.004782213084209027
122,2020-12-23,0.0034606688302315104
123,2020-12-24,0.002637162026595689
124,2020-12-28,0.006819031209887761
125,2020-12-29,-0.0022034552101548527
126,2020-12-30,0.0001628754476519217
127,2020-12-31,0.007285017422074196
128,2021-01-04,-0.012005850604450391
129,2021-01-05,0.004853525471192573
130,2021-01-06,0.012572073639611207
131,2021-01-07,0.006973886943789568
132,2021-01-08,0.0006994871123708356
133,2021-01-11,-0.0028780181500709183
134,2021-01-12,0.0014221612388566275
135,2021-01-13,0.0014528134630457175
136,2021-01-14,-0.000782053750308573
137,2021-01-15,-0.006390737815000144
138,2021-01-19,0.005413077584018614
139,2021-01-20,0.008290879092201452
140,2021-01-21,0.001150943371407562
141,2021-01-22,-0.009416616492438369
142,2021-01-25,0.0009585667559924844
143,2021-01-26,0.00035361737105086286
144,2021-01-27,-0.014235577787789689
145,2021-01-28,0.008985288068490206
146,2021-01-29,-0.019913679926619476
147,2021-02-01,0.006818941819256017
148,2021-02-02,0.01217084219613774
149,2021-02-03,0.0011961994460944572
