date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
2020-11-17,0.04533669725060463,0.02563857100903988,0.04723518714308739,0.02563857100903988,0.02563857100903988,0.048284102231264114,0.02563857100903988,0.02563857100903988,0.02563857100903988,0.02563857100903988,0.025961585342884064,0.040746837854385376,0.0480620302259922,0.02563857100903988,0.026936376467347145,0.03286872059106827,0.03486543521285057,0.02563857100903988,0.05730373039841652,0.02563857100903988,0.05105017125606537,0.02563857100903988,0.06969286501407623,0.02563857100903988,0.06969286501407623,0.038694143295288086,0.02877437323331833,0.02683219127357006
2020-11-18,0.04558761417865753,0.02570919133722782,0.04690435528755188,0.02570919133722782,0.02570919133722782,0.04772930592298508,0.02570919133722782,0.02570919133722782,0.02570919133722782,0.02570919133722782,0.025923991575837135,0.040728311985731125,0.04792732372879982,0.02570919133722782,0.02681768871843815,0.03317910432815552,0.034808266907930374,0.02570919133722782,0.05709579586982727,0.02570919133722782,0.05063781887292862,0.02570919133722782,0.06988482922315598,0.02570919133722782,0.06988482922315598,0.03851186856627464,0.029071349650621414,0.026797179132699966
2020-11-19,0.04564421623945236,0.024702126160264015,0.05002077668905258,0.024702126160264015,0.024702126160264015,0.05488193780183792,0.024702126160264015,0.024702126160264015,0.024702126160264015,0.024702126160264015,0.025126583874225616,0.04158889874815941,0.05131743848323822,0.024702126160264015,0.02542497217655182,0.03169669210910797,0.03351272642612457,0.024702126160264015,0.05925846844911575,0.024702126160264015,0.05786389857530594,0.024702126160264015,0.06714734435081482,0.0251169316470623,0.06714734435081482,0.04083468019962311,0.026054201647639275,0.02563953958451748
2020-11-20,0.045636437833309174,0.024701304733753204,0.05002434924244881,0.024701304733753204,0.024701304733753204,0.054895445704460144,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.02512821927666664,0.04158715158700943,0.051319435238838196,0.024701304733753204,0.02542889676988125,0.03168829530477524,0.03351384401321411,0.024701304733753204,0.05925966426730156,0.024701304733753204,0.05786922574043274,0.024701304733753204,0.06714510917663574,0.025119252502918243,0.06714510917663574,0.040836382657289505,0.02604774199426174,0.025641128420829773
2020-11-23,0.045636437833309174,0.024701304733753204,0.05002434924244881,0.024701304733753204,0.024701304733753204,0.054895445704460144,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.02512821927666664,0.04158715158700943,0.051319435238838196,0.024701304733753204,0.02542889676988125,0.03168829530477524,0.03351384401321411,0.024701304733753204,0.05925966426730156,0.024701304733753204,0.05786922574043274,0.024701304733753204,0.06714510917663574,0.025119252502918243,0.06714510917663574,0.040836382657289505,0.02604774199426174,0.025641128420829773
2020-11-24,0.045636437833309174,0.024701304733753204,0.05002434924244881,0.024701304733753204,0.024701304733753204,0.054895445704460144,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.02512821927666664,0.04158715158700943,0.051319435238838196,0.024701304733753204,0.02542889676988125,0.03168829530477524,0.03351384401321411,0.024701304733753204,0.05925966426730156,0.024701304733753204,0.05786922574043274,0.024701304733753204,0.06714510917663574,0.025119252502918243,0.06714510917663574,0.040836382657289505,0.02604774199426174,0.025641128420829773
2020-11-25,0.045640815049409866,0.024701766669750214,0.05002235248684883,0.024701766669750214,0.024701766669750214,0.05488787218928337,0.024701766669750214,0.024701766669750214,0.024701766669750214,0.024701766669750214,0.02512730285525322,0.041588135063648224,0.05131831765174866,0.024701766669750214,0.02542669139802456,0.03169301524758339,0.03351321816444397,0.024701766669750214,0.059258997440338135,0.024701766669750214,0.05786624550819397,0.024701766669750214,0.06714636832475662,0.02511795423924923,0.06714636832475662,0.0408354327082634,0.026051370427012444,0.02564023621380329
2020-11-27,0.045636437833309174,0.024701304733753204,0.05002434924244881,0.024701304733753204,0.024701304733753204,0.054895445704460144,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.02512821927666664,0.04158715158700943,0.051319435238838196,0.024701304733753204,0.02542889676988125,0.03168829530477524,0.03351384401321411,0.024701304733753204,0.05925966426730156,0.024701304733753204,0.05786922574043274,0.024701304733753204,0.06714510917663574,0.025119252502918243,0.06714510917663574,0.040836382657289505,0.02604774199426174,0.025641128420829773
2020-11-30,0.04563967511057854,0.024701643735170364,0.05002286285161972,0.024701643735170364,0.024701643735170364,0.05488983169198036,0.024701643735170364,0.024701643735170364,0.024701643735170364,0.024701643735170364,0.025127537548542023,0.04158787429332733,0.05131859704852104,0.024701643735170364,0.025427263230085373,0.031691789627075195,0.0335133820772171,0.024701643735170364,0.059259165078401566,0.024701643735170364,0.057867009192705154,0.024701643735170364,0.06714603304862976,0.025118283927440643,0.06714603304862976,0.0408356748521328,0.026050429791212082,0.02564046159386635
2020-12-01,0.045636437833309174,0.024701304733753204,0.05002434924244881,0.024701304733753204,0.024701304733753204,0.054895445704460144,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.024701304733753204,0.02512821927666664,0.04158715158700943,0.051319435238838196,0.024701304733753204,0.02542889676988125,0.03168829530477524,0.03351384401321411,0.024701304733753204,0.05925966426730156,0.024701304733753204,0.05786922574043274,0.024701304733753204,0.06714510917663574,0.025119252502918243,0.06714510917663574,0.040836382657289505,0.02604774199426174,0.025641128420829773
