,date,dji
492,2019-12-16,1137442.7778424257
493,2019-12-17,1138702.4265271155
494,2019-12-18,1137579.2856792738
495,2019-12-19,1143125.595156466
496,2019-12-20,1146272.9072542153
497,2019-12-23,1150157.8337441552
498,2019-12-24,1148704.3990063488
499,2019-12-26,1152972.0981915426
500,2019-12-27,1153933.6326434847
501,2019-12-30,1146556.9379695014
502,2019-12-31,1149630.5279674658
503,2020-01-02,1162938.6651799507
504,2020-01-03,1153515.5331362742
505,2020-01-06,1156274.958412317
506,2020-01-07,1151452.9665985387
507,2020-01-08,1157955.1456491412
508,2020-01-09,1166487.6329013943
509,2020-01-10,1161124.6451878077
510,2020-01-13,1164479.5121406608
511,2020-01-14,1165793.5279234846
512,2020-01-15,1169441.2376248958
513,2020-01-16,1180213.8696210894
514,2020-01-17,1182246.5381887953
515,2020-01-21,1176120.9948817035
516,2020-01-22,1175727.4431814651
517,2020-01-23,1174672.8316280867
518,2020-01-24,1167810.1460020158
519,2020-01-27,1149524.2328161222
520,2020-01-28,1157059.2293735282
521,2020-01-29,1157526.5031735515
522,2020-01-30,1162561.5573632289
523,2020-01-31,1138254.0356555323
524,2020-02-03,1144046.059239051
525,2020-02-04,1160474.5216973894
526,2020-02-05,1179940.3031953142
527,2020-02-06,1183522.3160415275
528,2020-02-07,1172353.2999058294
529,2020-02-10,1179375.1528828763
530,2020-02-11,1179355.7978812254
531,2020-02-12,1190437.0083996775
532,2020-02-13,1185276.304057005
533,2020-02-14,1184259.930433718
534,2020-02-18,1177577.2620587759
535,2020-02-19,1182243.7057495292
536,2020-02-20,1177085.4404517803
537,2020-02-21,1167918.0934095983
538,2020-02-24,1126361.173929631
539,2020-02-25,1090934.1250945227
540,2020-02-26,1085948.2451976584
541,2020-02-27,1037972.5462676988
542,2020-02-28,1023579.9782106742
543,2020-03-02,1075705.3580230768
544,2020-03-03,1044046.0828427116
545,2020-03-04,1091316.8191109083
546,2020-03-05,1052258.6618156424
547,2020-03-06,1041925.9233732336
548,2020-03-09,960804.4694003324
549,2020-03-10,1007821.0729232733
550,2020-03-11,948808.0662834848
551,2020-03-12,854036.8514510704
552,2020-03-13,933999.7590853047
553,2020-03-16,813265.8551885528
554,2020-03-17,855517.7451139833
555,2020-03-18,801599.7459616694
556,2020-03-19,809183.9168118882
557,2020-03-20,772396.5890192781
558,2020-03-23,748949.499417501
559,2020-03-24,834067.9185890865
560,2020-03-25,854034.097690673
561,2020-03-26,908482.1563800734
562,2020-03-27,871606.9442913485
563,2020-03-30,899430.8606689293
564,2020-03-31,882901.6892589104
565,2020-04-01,843679.5652016897
566,2020-04-02,862610.0156783381
567,2020-04-03,848071.2622836401
568,2020-04-06,913631.2162502076
569,2020-04-07,912578.571668542
570,2020-04-08,943988.1201202874
571,2020-04-09,955501.1202690692
572,2020-04-13,942263.9513959716
573,2020-04-14,964782.0795973656
574,2020-04-15,946839.36363587
575,2020-04-16,948182.0185268279
576,2020-04-17,976574.311050455
577,2020-04-20,952724.3856419562
578,2020-04-21,927282.9440814334
579,2020-04-22,945690.101403686
580,2020-04-23,947278.8637953128
581,2020-04-24,957752.9881644164
582,2020-04-27,972195.0452297278
583,2020-04-28,970896.7652206041
584,2020-04-29,992340.0613994155
585,2020-04-30,980732.8039661703
586,2020-05-01,955675.1579261918
587,2020-05-04,956725.3634629339
588,2020-05-05,962096.3764211076
589,2020-05-06,953296.459694822
590,2020-05-07,961806.3661118154
591,2020-05-08,980152.7046687175
592,2020-05-11,975748.4976466757
593,2020-05-12,957330.4039617013
594,2020-05-13,936511.5032833086
595,2020-05-14,951713.2835028588
596,2020-05-15,954133.5241767968
597,2020-05-18,990870.1040992242
598,2020-05-19,975138.9724524037
599,2020-05-20,990005.2659766687
600,2020-05-21,985905.1527813806
601,2020-05-22,985544.2528115696
602,2020-05-26,1006892.5049172326
