,account_value,date,daily_return,datadate
162,1046885.2670019536,2018-08-23,-0.0015425345953969,2018-08-23
163,1055398.2408608403,2018-08-24,0.008131716174845,2018-08-24
164,1065042.886856934,2018-08-27,0.0091383949893899,2018-08-27
165,1066523.0572670903,2018-08-28,0.0013897754056875,2018-08-28
166,1076061.7430051274,2018-08-29,0.008943722006798,2018-08-29
167,1072883.3777932134,2018-08-30,-0.0029537015255628,2018-08-30
168,1075226.8790070806,2018-08-31,0.0021843019123732,2018-08-31
169,1073043.5352570806,2018-09-04,-0.0020305888855906,2018-09-04
170,1061999.778429688,2018-09-05,-0.0102919932551913,2018-09-05
171,1053690.5897089848,2018-09-06,-0.0078240964729666,2018-09-06
172,1050949.028065186,2018-09-07,-0.0026018659277919,2018-09-07
173,1053164.7713828129,2018-09-10,0.0021083261494672,2018-09-10
174,1059335.2544116215,2018-09-11,0.0058589911061179,2018-09-11
175,1057352.4077652593,2018-09-12,-0.0018717838739951,2018-09-12
176,1065000.9813719487,2018-09-13,0.0072337033050833,2018-09-13
177,1064625.154625245,2018-09-14,-0.0003528886388629,2018-09-14
178,1050891.4990673834,2018-09-17,-0.0128999916056798,2018-09-17
179,1058809.9188610844,2018-09-18,0.0075349546558596,2018-09-18
180,1058899.8133923344,2018-09-19,8.490148198347924e-05,2018-09-19
181,1069225.9501110844,2018-09-20,0.0097517598814838,2018-09-20
182,1064852.0649267582,2018-09-21,-0.0040907024225065,2018-09-21
183,1064671.0387243656,2018-09-24,-0.0001700012690541,2018-09-24
184,1065971.3844274906,2018-09-25,0.0012213591389533,2018-09-25
185,1063440.6092482917,2018-09-26,-0.0023741492653279,2018-09-26
186,1069691.0234274906,2018-09-27,0.0058775394928893,2018-09-27
187,1070303.0739646,2018-09-28,0.0005721750708427,2018-09-28
188,1070170.5820212406,2018-10-01,-0.000123789183253,2018-10-01
189,1066371.324697022,2018-10-02,,2018-10-02
190,1069636.7250876469,2018-10-03,0.0030621607267551,2018-10-03
191,1051696.1252341312,2018-10-04,-0.0167726102074941,2018-10-04
192,1040201.4665427252,2018-10-05,-0.010929638719404,2018-10-05
193,1034304.9291892096,2018-10-08,-0.0056686493368575,2018-10-08
194,1034248.6838278814,2018-10-09,-5.437986394618566e-05,2018-10-09
195,1002848.9091359868,2018-10-10,-0.0303599851591591,2018-10-10
196,980821.4987395027,2018-10-11,-0.0219648345785827,2018-10-11
