date,ensemble
2019-03-25,986133.260040528
2019-03-26,993035.1423647468
2019-03-27,990915.8127749033
2019-03-28,996007.2102358406
2019-03-29,998793.4903847666
2019-04-01,1009585.2677285166
2019-04-02,1008101.6539589852
2019-04-03,1011115.1129433603
2019-04-04,1014539.8243691416
2019-04-05,1020413.2822915048
2019-04-08,1021329.8386376963
2019-04-09,1015238.6891650402
2019-04-10,1022245.33066504
2019-04-11,1020084.64316504
2019-04-12,1024795.08066504
2019-04-15,1023751.83066504
2019-04-16,1026852.01816504
2019-04-17,1026320.83066504
2019-04-18,1026574.26816504
2019-04-22,1028777.14316504
2019-04-23,1042287.51816504
2019-04-24,1039879.83066504
2019-04-25,1042013.64316504
2019-04-26,1045561.76816504
2019-04-29,1047539.39316504
2019-04-30,1039032.51816504
2019-05-01,1033176.51816504
2019-05-02,1031529.14316504
2019-05-03,1047814.58066504
2019-05-06,1042603.70566504
2019-05-07,1022183.83066504
2019-05-08,1019567.51816504
2019-05-09,1015378.08066504
2019-05-10,1016190.89316504
2019-05-13,981641.14316504
2019-05-14,992837.33066504
2019-05-15,1004057.76816504
2019-05-16,1013772.95566504
2019-05-17,1003306.39316504
2019-05-20,988727.20566504
2019-05-21,999394.76816504
2019-05-22,994930.08066504
2019-05-23,979242.39316504
2019-05-24,980359.83066504
2019-05-28,976563.39316504
2019-05-29,968878.26816504
2019-05-30,971490.76816504
2019-05-31,956825.76816504
2019-06-03,941449.14316504
2019-06-04,966293.95566504
2019-06-05,972484.01816504
2019-06-06,977612.95566504
2019-06-07,993811.39316504
2019-06-10,1004188.33066504
2019-06-11,1004111.51816504
2019-06-12,1000290.76816504
2019-06-13,1005975.20566504
2019-06-14,1000795.08066504
2019-06-17,1006985.14316504
2019-06-18,1020919.20566504
2019-06-19,1025199.51816504
2019-06-20,1033394.08066504
2019-06-21,1030881.45566504
2019-06-24,1027552.20566504
2019-06-25,1012066.76816504
2019-06-26,1015298.76816504
2019-06-27,1022695.83066504
2019-06-28,1027621.33066504
2019-07-01,1038491.08066504
2019-07-02,1040786.08066504
2019-07-03,1048612.01816504
2019-07-05,1047531.70566504
2019-07-08,1040249.0605556652
2019-07-09,1038969.5797919934
2019-07-10,1041842.819049806
2019-07-11,1043854.1559638684
2019-07-12,1046701.319049806
2019-07-15,1046593.0797919934
2019-07-16,1043575.3415107434
2019-07-17,1037632.9059638684
2019-07-18,1041482.6129951184
2019-07-19,1037002.526081056
2019-07-22,1036827.0905341808
2019-07-23,1043759.3405341808
2019-07-24,1046714.7428779308
2019-07-25,1041529.2106513684
2019-07-26,1046759.7975654308
2019-07-29,1045741.5153388684
2019-07-30,1042944.8844794934
2019-07-31,1033416.666706056
2019-08-01,1021900.1022529308
2019-08-02,1015476.569049806
2019-08-05,988442.7536201184
2019-08-06,998778.3297919934
2019-08-07,999159.1344794934
2019-08-08,1014632.1022529308
2019-08-09,1008280.471393556
2019-08-12,995468.276081056
2019-08-13,1006379.7653388684
2019-08-14,978231.2321357434
2019-08-15,981508.9606513684
2019-08-16,995007.6999091808
2019-08-19,1003500.1999091808
2019-08-20,996508.6999091808
2019-08-21,1004219.069049806
2019-08-22,1003543.6344794934
2019-08-23,982054.8629951184
2019-08-26,990205.2868232434
2019-08-27,986605.2321357434
2019-08-28,993334.5045966808
2019-08-29,1004773.6891669934
2019-08-30,1007368.8083076184
2019-09-03,1001563.928424806
2019-09-04,1012064.6022529308
2019-09-05,1021658.319049806
2019-09-06,1022892.3083076184
2019-09-09,1025052.1559638684
2019-09-10,1027678.1344794934
2019-09-11,1034665.6999091808
2019-09-12,1037323.2321357434
2019-09-13,1037978.1452216808
2019-09-16,1036685.7545966808
2019-09-17,1038536.6999091808
2019-09-18,1037580.7536201184
2019-09-19,1036944.0475654308
2019-09-20,1035565.4821357434
2019-09-23,1034896.373737306
2019-09-24,1027543.819049806
2019-09-25,1031126.5153388684
2019-09-26,1030425.776081056
2019-09-27,1025941.7545966808
2019-09-30,1028529.776081056
2019-10-01,1015147.916706056
2019-10-02,997221.2428779308
2019-10-03,1003331.0905341808
2019-10-04,1014847.7321357434
2019-10-07,1010596.776081056
2019-10-08,995837.1999091808
2019-10-09,1003756.9499091808
2019-10-10,1009669.2975654308
2019-10-11,1022381.971393556
2019-10-14,1019956.6559638684
2019-10-15,1028632.4606513684
2019-10-16,1027751.5797919934
2019-10-17,1031254.5045966808
2019-10-18,1028679.8297919934
2019-10-21,1035155.5153388684
2019-10-22,1033832.2653388684
2019-10-23,1037192.0797919934
2019-10-24,1037548.428424806
2019-10-25,1039708.276081056
2019-10-28,1042883.2428779308
2019-10-29,1044716.0583076184
2019-10-30,1047432.069049806
2019-10-31,1041728.2536201184
2019-11-01,1051876.5905341809
2019-11-04,1056235.0915107434
2019-11-05,1054982.8952216809
2019-11-06,1055929.3522529309
2019-11-07,1059403.7321357434
2019-11-08,1060371.4821357434
2019-11-11,1058816.7868232434
2019-11-12,1058777.2868232434
2019-11-13,1058574.2321357434
2019-11-14,1059123.2975654309
2019-11-15,1067099.1344794934
2019-11-18,1066376.2536201184
2019-11-19,1064996.916706056
2019-11-20,1061279.9821357434
2019-11-21,1060262.471393556
2019-11-22,1062990.3629951184
2019-11-25,1070253.5797919934
2019-11-26,1072372.3844794934
2019-11-27,1076157.2868232434
2019-11-29,1071226.8844794934
2019-12-02,1063567.819049806
2019-12-03,1057076.3952216809
2019-12-04,1064334.9059638684
2019-12-05,1066256.9821357434
2019-12-06,1074630.2106513684
2019-12-09,1072005.8522529309
2019-12-10,1071234.7536201184
2019-12-11,1073968.971393556
2019-12-12,1083250.6999091809
2019-12-13,1083245.1452216809
2019-12-16,1090972.178424806
2019-12-17,1090987.916706056
2019-12-18,1091292.8844794934
2019-12-19,1093857.221393556
2019-12-20,1098406.0475654309
2019-12-23,1099254.526081056
2019-12-24,1098871.3297919934
2019-12-26,1102448.471393556
2019-12-27,1102742.3297919934
2019-12-30,1097371.178424806
2019-12-31,1100284.6891669934
2020-01-02,1107352.026081056
2020-01-03,1100602.2321357434
2020-01-06,1102557.4821357434
2020-01-07,1099132.8629951184
2020-01-08,1101976.0915107434
2020-01-09,1106969.678424806
2020-01-10,1103834.9059638684
2020-01-13,1110524.678424806
2020-01-14,1110088.5583076184
2020-01-15,1111360.5045966809
2020-01-16,1118355.9391669934
2020-01-17,1121628.1129951184
2020-01-21,1115843.7545966809
2020-01-22,1115864.276081056
2020-01-23,1115216.4606513684
2020-01-24,1105454.4059638684
2020-01-27,1088953.666706056
2020-01-28,1097486.5153388684
2020-01-29,1094816.2536201184
2020-01-30,1096246.971393556
2020-01-31,1076669.166706056
2020-02-03,1081710.971393556
2020-02-04,1096319.6452216809
2020-02-05,1109119.2653388684
2020-02-06,1109916.3629951184
2020-02-07,1101777.7428779309
2020-02-10,1105929.2545966809
2020-02-11,1111427.623737306
2020-02-12,1117976.7545966809
2020-02-13,1114979.4606513684
2020-02-14,1114845.1452216809
2020-02-18,1110237.069049806
2020-02-19,1114038.5583076184
2020-02-20,1112012.2545966809
2020-02-21,1105241.9391669934
2020-02-24,1070350.7868232434
2020-02-25,1069281.5913339856
2020-02-26,1069281.5913339856
2020-02-27,1027717.5739033216
2020-02-28,1026690.1116137708
2020-03-02,1061572.397296144
2020-03-03,1060513.3182907728
2020-03-04,1097860.9460822768
2020-03-05,1096764.8487297378
2020-03-06,1074582.8981418472
2020-03-09,1073508.601504152
2020-03-10,1073508.601504152
2020-03-11,1073508.601504152
2020-03-12,1073508.601504152
2020-03-13,1073508.601504152
2020-03-16,1073508.601504152
2020-03-17,1073508.601504152
2020-03-18,1073508.601504152
2020-03-19,1073508.601504152
2020-03-20,1073508.601504152
2020-03-23,1073508.601504152
2020-03-24,1073508.601504152
2020-03-25,1073508.601504152
2020-03-26,1073508.601504152
2020-03-27,1036010.5202189956
2020-03-30,1061091.6002971206
2020-03-31,1048527.173051027
2020-04-01,999056.1486369644
2020-04-02,1020127.8009807144
2020-04-03,1000318.678910402
2020-04-06,1070207.1228313006
2020-04-07,1067159.6665651873
2020-04-08,1096942.9673464373
2020-04-09,1107354.3540651873
2020-04-13,1106248.8547702653
2020-04-14,1106248.8547702653
2020-04-15,1087307.631059816
2020-04-16,1102666.6022512224
2020-04-17,1121120.422807863
2020-04-20,1107604.8918020036
2020-04-21,1070147.504839113
2020-04-22,1098947.196245363
2020-04-23,1098749.8170949724
2020-04-24,1116192.4250051286
2020-04-27,1129471.346635988
2020-04-28,1115885.3600637224
2020-04-29,1153357.99971216
2020-04-30,1148431.8571340349
2020-05-01,1112698.8188039567
2020-05-04,1124345.4679738786
2020-05-05,1136473.7792531757
2020-05-06,1139218.9506398942
2020-05-07,1154662.5331594257
2020-05-08,1173154.8483449724
2020-05-11,1180291.5019094257
2020-05-12,1155966.2836477067
2020-05-13,1137567.6049367692
2020-05-14,1148515.0854055192
2020-05-15,1156595.865434816
2020-05-18,1186651.6027395036
2020-05-19,1178922.2284719257
2020-05-20,1202321.939653566
2020-05-21,1191175.99189966
2020-05-22,1195764.642778566
2020-05-26,1200560.1171438005
2020-05-27,1211722.2074758315
2020-05-28,1206815.604448488
2020-05-29,1220201.219682863
2020-06-01,1227435.561479738
2020-06-02,1235301.5871145036
2020-06-03,1246497.0688039567
2020-06-04,1238850.7284719257
2020-06-05,1265938.3844777849
2020-06-08,1280428.3131887224
2020-06-09,1281084.6266652849
2020-06-10,1286228.0241262224
2020-06-11,1216730.5683156757
2020-06-12,1229828.164995363
2020-06-15,1245799.0836965349
2020-06-16,1267959.4835988786
2020-06-17,1268424.2492238786
2020-06-18,1271840.8610402849
2020-06-19,1270581.4835988786
2020-06-22,1283408.209184816
2020-06-23,1292092.4379445815
2020-06-24,1262666.9818898942
2020-06-25,1276425.25361841
2020-06-26,1243798.0397512224
2020-06-29,1259424.0109426286
2020-06-30,1282073.3793508315
2020-07-01,1293045.150591066
2020-07-02,1299604.49189966
2020-07-06,1326630.7292043474
2020-07-07,1318767.8106252458
2020-07-08,1326702.808531496
2020-07-09,1321960.5062681905
2020-07-10,1337843.588097048
2020-07-13,1327469.5738603538
2020-07-14,1337971.602106081
2020-07-15,1336633.7957042258
2020-07-16,1336633.7957042258
2020-07-17,1340661.5365189232
2020-07-20,1341740.3707503686
2020-07-21,1350750.0926490503
2020-07-22,1353166.4361507597
2020-07-23,1335125.3488001735
2020-07-24,1328801.924448611
2020-07-27,1342687.2673751249
2020-07-28,1334332.478983401
2020-07-29,1350781.2412734402
2020-07-30,1345333.6356381865
2020-07-31,1355642.2962827175
2020-08-03,1365367.152239749
2020-08-04,1370293.7118100617
2020-08-05,1379095.3558530302
2020-08-06,1387950.771380374
2020-08-07,1388828.499895999
2020-08-10,1392633.1356381865
2020-08-11,1381546.2035092802
2020-08-12,1400863.5081967802
2020-08-13,1397998.5594663117
2020-08-14,1397758.5081967802
2020-08-17,1401542.423724124
2020-08-18,1404767.499895999
2020-08-19,1398586.5081967802
2020-08-20,1402999.7118100617
2020-08-21,1407822.771380374
2020-08-24,1421948.499895999
2020-08-25,1427057.2962827175
2020-08-26,1441592.7796811552
2020-08-27,1444002.2879819365
2020-08-28,1453714.7118100617
2020-08-31,1450526.9320249052
