date,ensemble,dji
2019-02-28,1009613.6574940194,1043989.2766996544
2019-03-01,1015483.148338746,1048433.3739080258
2019-03-04,1007085.11476941,1040107.9694376655
2019-03-05,1005221.5456776132,1039583.4961002426
2019-03-06,995058.130028199,1034218.934809286
2019-03-07,987042.6803211678,1026152.9345683713
2019-03-08,986053.253903199,1025226.8056072543
2019-03-11,997031.2644350594,1033309.3284105539
2019-03-12,994760.085724122,1029433.2139538862
2019-03-13,999924.8684389656,1035404.4679998487
2019-03-14,998797.7200014656,1035688.4200362662
2019-03-15,1003278.7165834968,1041285.0053104303
2019-03-18,1007161.7820131844,1043912.7221606035
2019-03-19,1004617.0315249033,1042836.3952395194
2019-03-20,998476.9363100594,1037127.771256611
2019-03-21,1008228.7619936533,1045862.8565952522
2019-03-22,984317.6282045906,1027324.777635815
2019-03-25,986133.260040528,1027909.2829499037
2019-03-26,993035.1423647468,1033585.2552023845
2019-03-27,990915.8127749033,1032290.5157423434
2019-03-28,996007.2102358406,1035991.412358861
2019-03-29,998793.4903847666,1044500.0599139584
2019-04-01,1009585.2677285166,1057783.17724626
2019-04-02,1008101.6539589852,1054589.1299006215
2019-04-03,1011115.1129433603,1056160.1895468358
2019-04-04,1014539.8243691416,1062867.40572875
2019-04-05,1020413.2822915048,1064493.2258674405
2019-04-08,1021329.8386376963,1061110.5852740067
2019-04-09,1015238.6891650402,1053439.002200884
2019-04-10,1022245.33066504,1053704.0713088615
2019-04-11,1020084.64316504,1053135.6951628153
2019-04-12,1024795.08066504,1063982.049258794
2019-04-15,1023751.83066504,1062872.9919284137
2019-04-16,1026852.01816504,1065607.8693974842
2019-04-17,1026320.83066504,1065482.1405656207
2019-04-18,1026574.26816504,1069913.3344395582
2019-04-22,1028777.14316504,1067960.0528501696
2019-04-23,1042287.51816504,1073814.8621707514
2019-04-24,1039879.83066504,1071424.4407879752
2019-04-25,1042013.64316504,1065987.3375802613
2019-04-26,1045561.76816504,1069260.3785098742
2019-04-29,1047539.39316504,1069705.9369421916
2019-04-30,1039032.51816504,1071257.6415867545
2019-05-01,1033176.51816504,1064700.7020436758
2019-05-02,1031529.14316504,1059771.9430053423
2019-05-03,1047814.58066504,1067714.2600649744
2019-05-06,1042603.70566504,1065036.6608121719
2019-05-07,1022183.83066504,1045966.791380541
2019-05-08,1019567.51816504,1046057.036042711
2019-05-09,1015378.08066504,1040458.7985123084
2019-05-10,1016190.89316504,1045051.520103277
2019-05-13,981641.14316504,1020181.2871280662
